id;year;country;event;artist;title;points_total;rank
210;1971;CH;3;Peter, Sue & Marc;Les illusions de nos vingt ans;78;12
211;1971;D;3;Katja Ebstein;Diese Welt;100;3
212;1971;E;3;Karina;En un mundo nuevo;116;2
213;1971;F;3;Serge Lama;Un jardin sur la terre;82;10
214;1971;LUX;3;Monique Melsen;Pomme, Pomme, Pomme;70;13
215;1971;UK;3;Clodagh Rodgers;Jack In The Box;98;4
216;1971;B;3;Lily Castel & Jacques Raymond;Goeie morgen, morgen;68;14
217;1971;I;3;Massimo Ranieri;L'amore é un attimo;91;5
218;1971;S;3;Family Four;Vita vidder;85;6
219;1971;IRL;3;Angela Farrell;One Day Love;79;11
220;1971;NL;3;Saskia & Serge;Tijd;85;6
221;1971;POR;3;Tonicha;Menina;83;9
222;1971;YUG;3;Kruno Slabinac;Tvoj djecak je tužan;68;14
223;1971;SF;3;Markku Aro & Koivistolaiset;Tie uuteen päivään;84;8
224;1971;N;3;Hanne Krogh;Lykken er ...;65;17
225;1972;D;3;Mary Roos;Nur die Liebe lässt uns leben;107;3
226;1972;F;3;Betty Mars;Comé Comédie;81;11
227;1972;IRL;3;Sandie Jones;Ceol an Ghrá;72;15
228;1972;E;3;Jaime Morey;Amanece;83;10
229;1972;UK;3;The New Seekers;Beg, Steal Or Borrow;114;2
230;1972;N;3;Grethe Kausland & Benny Borg;Småting;73;14
231;1972;POR;3;Carlos Mendes;A festa da vida;90;7
232;1972;CH;3;Véronique Muller;C'est la chanson de mon amour;88;8
233;1972;MAL;3;Helen & Joseph;L-Imhabba;48;18
234;1972;SF;3;Päivi Paunu & Kim Floor;Muistathan;78;12
235;1972;AUT;3;Milestones;Falter im Wind;100;5
236;1972;I;3;Nicola di Bari;I giorni dell'arcobaleno;92;6
237;1972;YUG;3;Tereza;Musika i ti;87;9
238;1972;S;3;Family Four;Härliga sommardag;75;13
239;1972;MC;3;Anne-Marie Godard & Peter McLane;Comme on s'aime;65;16
240;1972;B;3;Serge & Christine Ghisoland;À la folie ou pas du tout;55;17
241;1972;LUX;3;Vicky Leandros;Après toi;128;1
242;1972;NL;3;Sandra & Andres;Als het om de liefde gaat;106;4
243;1973;SF;3;Marion Rung;Tom Tom Tom;93;6
244;1973;B;3;Nicole & Hugo;Baby, Baby;58;17
245;1973;POR;3;Fernando Tordo;Tourada;80;10
246;1973;D;3;Gitte;Junger Tag;85;8
247;1973;N;3;Bendik Singers;It's Just A Game;89;7
248;1973;MC;3;Marie;Un train qui part;85;8
249;1973;E;3;Mocedades;Eres tu;125;2
250;1973;CH;3;Patrick Juvet;Je vais me marier, Marie;79;12
251;1973;YUG;3;Zdravko Colic;Gori vatra;65;15
252;1973;I;3;Massimo Ranieri;Chi sarà;74;13
253;1973;LUX;3;Anne-Marie David;Tu te reconnaîtras;129;1
254;1973;S;3;The Nova;You Are Summer, You Never Tell Me No;94;5
255;1973;NL;3;Ben Cramer;De oude muzikant;69;14
256;1973;IRL;3;Maxi;Do I Dream?;80;10
257;1973;UK;3;Cliff Richard;Power To All Our Friends;123;3
258;1973;F;3;Martine Clemenceau;Sans toi;65;15
259;1973;ISR;3;Ilanit;Ey sham;97;4
260;1974;SF;3;Carita;Keep Me Warm;4;13
261;1974;UK;3;Olivia Newton-John;Long Live Love;14;4
262;1974;E;3;Peret;Canta y se feliz;10;9
263;1974;N;3;Anne Karine;The First Day Of Love;3;14
264;1974;GR;3;Marinella;Krassi, thalassa ke t'agori mou;7;11
265;1974;ISR;3;Poogy;Natati la Khaiai;11;7
266;1974;YUG;3;Korni Grupa;Moja Generacija;6;12
267;1974;S;3;Abba;Waterloo;24;1
268;1974;LUX;3;Ireen Sheer;Bye Bye, I Love You;14;4
269;1974;MC;3;Romuald;Celui qui reste et celui quee s'en va;14;4
270;1974;B;3;Jacques Hustin;Fleur de liberté;10;9
271;1974;NL;3;Mouth & MacNeal;I See A Star;15;3
272;1974;IRL;3;Tina;Cross Your Heart;11;7
273;1974;D;3;Cindy & Bert;Die Sommermelodie;3;14
274;1974;CH;3;Piera Martell;Mein Ruf nach dir;3;14
275;1974;POR;3;Paulo de Carvalho;E depois do adeus;3;14
276;1974;I;3;Gigliola Cinquetti;Si;18;2
277;1975;NL;3;Teach-In;Ding-A-Dong;152;1
278;1975;IRL;3;The Swarbriggs;That's What Friends Are For;68;9
279;1975;F;3;Nicole Rieu;Et bonjour à toi l'artiste;91;4
280;1975;D;3;Joy Fleming;Ein Lied kann eine Brücke sein;15;17
281;1975;LUX;3;Géraldine;Toi;84;5
282;1975;N;3;Ellen Nikolaysen;Touch My Life (With Summer);11;18
283;1975;CH;3;Simone Drexel;Mikado;77;6
284;1975;YUG;3;Pepel in Kri;Dan ljubezni;22;13
285;1975;UK;3;The Shadows;Let Me Be The One;138;2
286;1975;MAL;3;Renato;Singing This Song;32;12
287;1975;B;3;Ann Christy;Gelukkig zijn;17;15
288;1975;ISR;3;Shlomo Artzi;At ve' ani;40;11
289;1975;TR;3;Semiha Yanki;Seninle bir dakika;3;19
290;1975;MC;3;Sophie;Une chanson c'est une lettre;22;13
291;1975;SF;3;Pihasoittajat;Old-Man Fiddle;74;7
292;1975;POR;3;Duarde Mendes;Madrugada;16;16
293;1975;E;3;Sergio & Estibaliz;Tu volveras;53;10
294;1975;S;3;Lars Berghagen;Jennie, Jennie;72;8
295;1975;I;3;Wess & Dori Ghezzi;Era;115;3
296;1976;UK;3;Brotherhood Of Man;Save Your Kisses For Me;164;1
297;1976;CH;3;Peter, Sue & Marc;Djambo Djambo;91;4
298;1976;D;3;The Les Humphries Singers;Sing Sang Song;12;15
299;1976;ISR;3;Chocolate Menta Mastik;Emor shalom;77;6
300;1976;LUX;3;Jürgen Marcus;Chansons pour ceux qui s'aiment;17;14
301;1976;B;3;Pierre Rapsat;Judy et Cie;68;8
302;1976;IRL;3;Red Vincent Hurley;When;54;10
303;1976;NL;3;Sandra Reemer;The Party's Over Now;56;9
304;1976;N;3;Anne Karine;Mata Hari;7;18
305;1976;GR;3;Mariza Koch;Panaghia mou, panaghia mou;20;13
306;1976;SF;3;Fredi and Friends;Pump Pump;44;11
307;1976;E;3;Braulio;Sobran las palabras;11;16
308;1976;I;3;Al Bano & R. Power;Noi lo riviremo di nuovo;69;7
309;1976;AUT;3;Waterloo & Robinson;My Little World;80;5
310;1976;POR;3;Carlos do Carmo;Uma flor de verde pinho;24;12
311;1976;MC;3;Mary Cristy;Toi, la musique et moi;93;3
312;1976;F;3;Catherine Ferry;1, 2, 3;147;2
313;1976;YUG;3;Ambasadori;Ne mogu skriti svoj bol;10;17
